,date,abfluss
376,2021-07-13 21:25:00,632.497
377,2021-07-13 21:30:00,632.935
378,2021-07-13 21:35:00,633.373
379,2021-07-13 21:40:00,634.031
380,2021-07-13 21:45:00,635.127
381,2021-07-13 21:50:00,636.442
382,2021-07-13 21:55:00,637.1
383,2021-07-13 22:00:00,638.415
384,2021-07-13 22:05:00,639.073
385,2021-07-13 22:10:00,639.292
386,2021-07-13 22:15:00,641.046
387,2021-07-13 22:20:00,641.704
388,2021-07-13 22:25:00,643.02
389,2021-07-13 22:30:00,643.459
390,2021-07-13 22:35:00,644.336
391,2021-07-13 22:40:00,644.994
392,2021-07-13 22:45:00,645.871
393,2021-07-13 22:50:00,646.091
394,2021-07-13 22:55:00,648.284
395,2021-07-13 23:00:00,648.723
396,2021-07-13 23:05:00,649.601
397,2021-07-13 23:10:00,649.82
398,2021-07-13 23:15:00,650.698
399,2021-07-13 23:20:00,650.259
400,2021-07-13 23:25:00,650.917
401,2021-07-13 23:30:00,651.356
402,2021-07-13 23:35:00,652.014
403,2021-07-13 23:40:00,652.453
404,2021-07-13 23:45:00,652.892
405,2021-07-13 23:50:00,652.453
406,2021-07-13 23:55:00,652.892
407,2021-07-14 00:00:00,652.234
408,2021-07-14 00:05:00,652.014
409,2021-07-14 00:10:00,652.014
410,2021-07-14 00:15:00,652.234
411,2021-07-14 00:20:00,651.795
412,2021-07-14 00:25:00,650.259
413,2021-07-14 00:30:00,649.82
414,2021-07-14 00:35:00,649.601
415,2021-07-14 00:40:00,648.504
416,2021-07-14 00:45:00,647.407
417,2021-07-14 00:50:00,645.652
418,2021-07-14 00:55:00,645.213
419,2021-07-14 01:00:00,643.678
420,2021-07-14 01:05:00,641.923
421,2021-07-14 01:10:00,640.608
422,2021-07-14 01:15:00,639.073
423,2021-07-14 01:20:00,638.415
424,2021-07-14 01:25:00,635.784
425,2021-07-14 01:30:00,633.373
426,2021-07-14 01:35:00,632.058
427,2021-07-14 01:40:00,630.086
428,2021-07-14 01:45:00,628.553
429,2021-07-14 01:50:00,627.019
430,2021-07-14 01:55:00,625.267
431,2021-07-14 02:00:00,623.296
432,2021-07-14 02:05:00,621.763
433,2021-07-14 02:10:00,619.355
434,2021-07-14 02:15:00,618.261
435,2021-07-14 02:20:00,615.854
436,2021-07-14 02:25:00,613.885
437,2021-07-14 02:30:00,612.135
438,2021-07-14 02:35:00,610.167
439,2021-07-14 02:40:00,608.856
440,2021-07-14 02:45:00,606.888
441,2021-07-14 02:50:00,606.014
442,2021-07-14 02:55:00,604.703
443,2021-07-14 03:00:00,602.955
444,2021-07-14 03:05:00,601.427
445,2021-07-14 03:10:00,600.553
446,2021-07-14 03:15:00,597.933
447,2021-07-14 03:20:00,596.405
448,2021-07-14 03:25:00,594.878
449,2021-07-14 03:30:00,593.351
450,2021-07-14 03:35:00,592.042
451,2021-07-14 03:40:00,590.516
452,2021-07-14 03:45:00,588.554
453,2021-07-14 03:50:00,587.464
454,2021-07-14 03:55:00,586.157
455,2021-07-14 04:00:00,584.85
456,2021-07-14 04:05:00,583.761
457,2021-07-14 04:10:00,582.672
458,2021-07-14 04:15:00,581.365
459,2021-07-14 04:20:00,580.059
460,2021-07-14 04:25:00,578.536
461,2021-07-14 04:30:00,577.883
462,2021-07-14 04:35:00,577.013
463,2021-07-14 04:40:00,575.056
464,2021-07-14 04:45:00,573.534
465,2021-07-14 04:50:00,572.882
466,2021-07-14 04:55:00,571.578
467,2021-07-14 05:00:00,569.623
468,2021-07-14 05:05:00,568.537
469,2021-07-14 05:10:00,567.234
470,2021-07-14 05:15:00,565.715
471,2021-07-14 05:20:00,565.064
472,2021-07-14 05:25:00,564.196
473,2021-07-14 05:30:00,562.894
474,2021-07-14 05:35:00,561.593
475,2021-07-14 05:40:00,560.292
476,2021-07-14 05:45:00,559.209
477,2021-07-14 05:50:00,558.125
478,2021-07-14 05:55:00,557.475
479,2021-07-14 06:00:00,556.825
480,2021-07-14 06:05:00,555.742
481,2021-07-14 06:10:00,555.093
482,2021-07-14 06:15:00,554.227
483,2021-07-14 06:20:00,553.794
484,2021-07-14 06:25:00,552.495
485,2021-07-14 06:30:00,550.332
486,2021-07-14 06:35:00,549.683
487,2021-07-14 06:40:00,549.035
488,2021-07-14 06:45:00,547.738
489,2021-07-14 06:50:00,547.089
490,2021-07-14 06:55:00,545.577
491,2021-07-14 07:00:00,544.929
492,2021-07-14 07:05:00,543.849
493,2021-07-14 07:10:00,543.201
494,2021-07-14 07:15:00,543.201
495,2021-07-14 07:20:00,541.906
496,2021-07-14 07:25:00,541.475
497,2021-07-14 07:30:00,540.827
498,2021-07-14 07:35:00,540.827
499,2021-07-14 07:40:00,540.18
500,2021-07-14 07:45:00,539.533
501,2021-07-14 07:50:00,538.239
502,2021-07-14 07:55:00,537.377
503,2021-07-14 08:00:00,536.515
504,2021-07-14 08:05:00,536.084
505,2021-07-14 08:10:00,535.653
506,2021-07-14 08:15:00,534.145
507,2021-07-14 08:20:00,533.283
508,2021-07-14 08:25:00,531.776
509,2021-07-14 08:30:00,530.701
510,2021-07-14 08:35:00,530.27
511,2021-07-14 08:40:00,528.98
512,2021-07-14 08:45:00,528.335
513,2021-07-14 08:50:00,527.26
514,2021-07-14 08:55:00,526.4
515,2021-07-14 09:00:00,524.896
516,2021-07-14 09:05:00,524.037
517,2021-07-14 09:10:00,523.822
518,2021-07-14 09:15:00,523.178
519,2021-07-14 09:20:00,522.534
520,2021-07-14 09:25:00,522.32
521,2021-07-14 09:30:00,522.105
522,2021-07-14 09:35:00,521.246
523,2021-07-14 09:40:00,520.388
524,2021-07-14 09:45:00,520.388
525,2021-07-14 09:50:00,519.745
526,2021-07-14 09:55:00,519.102
527,2021-07-14 10:00:00,518.887
528,2021-07-14 10:05:00,518.244
529,2021-07-14 10:10:00,517.601
530,2021-07-14 10:15:00,516.958
531,2021-07-14 10:20:00,516.315
532,2021-07-14 10:25:00,516.53
533,2021-07-14 10:30:00,516.101
534,2021-07-14 10:35:00,515.459
535,2021-07-14 10:40:00,515.673
536,2021-07-14 10:45:00,515.459
537,2021-07-14 10:50:00,515.673
538,2021-07-14 10:55:00,515.244
539,2021-07-14 11:00:00,514.816
540,2021-07-14 11:05:00,514.388
541,2021-07-14 11:10:00,513.746
542,2021-07-14 11:15:00,513.532
543,2021-07-14 11:20:00,512.89
544,2021-07-14 11:25:00,512.89
