Abfluss,gs1,gs2,gs3,gs4,gs5
786.231,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
785.862,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
785.122,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
784.383,720,940,1050,1150,2000
784.383,720,940,1050,1150,2000
784.752,720,940,1050,1150,2000
785.122,720,940,1050,1150,2000
785.862,720,940,1050,1150,2000
787.341,720,940,1050,1150,2000
789.192,720,940,1050,1150,2000
793.272,720,940,1050,1150,2000
794.758,720,940,1050,1150,2000
797.734,720,940,1050,1150,2000
801.087,720,940,1050,1150,2000
803.325,720,940,1050,1150,2000
805.193,720,940,1050,1150,2000
807.437,720,940,1050,1150,2000
808.186,720,940,1050,1150,2000
810.433,720,940,1050,1150,2000
810.807,720,940,1050,1150,2000
811.933,720,940,1050,1150,2000
812.308,720,940,1050,1150,2000
812.684,720,940,1050,1150,2000
812.684,720,940,1050,1150,2000
813.809,720,940,1050,1150,2000
814.185,720,940,1050,1150,2000
813.809,720,940,1050,1150,2000
815.312,720,940,1050,1150,2000
817.192,720,940,1050,1150,2000
819.828,720,940,1050,1150,2000
824.731,720,940,1050,1150,2000
830.785,720,940,1050,1150,2000
835.717,720,940,1050,1150,2000
842.187,720,940,1050,1150,2000
847.914,720,940,1050,1150,2000
854.041,720,940,1050,1150,2000
859.418,720,940,1050,1150,2000
863.654,720,940,1050,1150,2000
866.354,720,940,1050,1150,2000
870.605,720,940,1050,1150,2000
873.314,720,940,1050,1150,2000
875.639,720,940,1050,1150,2000
877.968,720,940,1050,1150,2000
881.077,720,940,1050,1150,2000
883.021,720,940,1050,1150,2000
883.8,720,940,1050,1150,2000
886.138,720,940,1050,1150,2000
887.307,720,940,1050,1150,2000
888.478,720,940,1050,1150,2000
895.907,720,940,1050,1150,2000
909.664,720,940,1050,1150,2000
926.293,720,940,1050,1150,2000
942.653,720,940,1050,1150,2000
958.332,720,940,1050,1150,2000
971.281,720,940,1050,1150,2000
981.451,720,940,1050,1150,2000
986.757,720,940,1050,1150,2000
990.848,720,940,1050,1150,2000
992.487,720,940,1050,1150,2000
992.077,720,940,1050,1150,2000
988.393,720,940,1050,1150,2000
983.082,720,940,1050,1150,2000
978.192,720,940,1050,1150,2000
971.687,720,940,1050,1150,2000
966.012,720,940,1050,1150,2000
958.735,720,940,1050,1150,2000
949.474,720,940,1050,1150,2000
938.651,720,940,1050,1150,2000
927.486,720,940,1050,1150,2000
917.17,720,940,1050,1150,2000
908.481,720,940,1050,1150,2000
901.007,720,940,1050,1150,2000
895.124,720,940,1050,1150,2000
890.04,720,940,1050,1150,2000
885.359,720,940,1050,1150,2000
884.969,720,940,1050,1150,2000
890.04,720,940,1050,1150,2000
896.691,720,940,1050,1150,2000
904.544,720,940,1050,1150,2000
914.796,720,940,1050,1150,2000
923.512,720,940,1050,1150,2000
934.258,720,940,1050,1150,2000
944.658,720,940,1050,1150,2000
954.301,720,940,1050,1150,2000
966.012,720,940,1050,1150,2000
976.971,720,940,1050,1150,2000
986.757,720,940,1050,1150,2000
996.587,720,940,1050,1150,2000
1004.399,720,940,1050,1150,2000
1013.478,720,940,1050,1150,2000
1018.031,720,940,1050,1150,2000
1019.274,720,940,1050,1150,2000
1020.932,720,940,1050,1150,2000
1020.102,720,940,1050,1150,2000
1016.374,720,940,1050,1150,2000
1010.173,720,940,1050,1150,2000
1004.399,720,940,1050,1150,2000
997.409,720,940,1050,1150,2000
991.667,720,940,1050,1150,2000
985.532,720,940,1050,1150,2000
979.413,720,940,1050,1150,2000
972.906,720,940,1050,1150,2000
968.848,720,940,1050,1150,2000
964.798,720,940,1050,1150,2000
961.563,720,940,1050,1150,2000
956.719,720,940,1050,1150,2000
953.094,720,940,1050,1150,2000
950.277,720,940,1050,1150,2000
948.671,720,940,1050,1150,2000
947.064,720,940,1050,1150,2000
946.662,720,940,1050,1150,2000
946.261,720,940,1050,1150,2000
946.662,720,940,1050,1150,2000
946.662,720,940,1050,1150,2000
949.072,720,940,1050,1150,2000
950.277,720,940,1050,1150,2000
951.082,720,940,1050,1150,2000
951.484,720,940,1050,1150,2000
948.671,720,940,1050,1150,2000
949.474,720,940,1050,1150,2000
949.072,720,940,1050,1150,2000
948.269,720,940,1050,1150,2000
948.269,720,940,1050,1150,2000
949.876,720,940,1050,1150,2000
951.886,720,940,1050,1150,2000
954.703,720,940,1050,1150,2000
953.899,720,940,1050,1150,2000
951.886,720,940,1050,1150,2000
949.072,720,940,1050,1150,2000
946.261,720,940,1050,1150,2000
940.652,720,940,1050,1150,2000
929.078,720,940,1050,1150,2000
917.566,720,940,1050,1150,2000
902.97,720,940,1050,1150,2000
888.869,720,940,1050,1150,2000
874.864,720,940,1050,1150,2000
860.958,720,940,1050,1150,2000
846.385,720,940,1050,1150,2000
832.301,720,940,1050,1150,2000
818.32,720,940,1050,1150,2000
805.941,720,940,1050,1150,2000
795.872,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
778.113,720,940,1050,1150,2000
770.398,720,940,1050,1150,2000
762.353,720,940,1050,1150,2000
753.257,720,940,1050,1150,2000
745.652,720,940,1050,1150,2000
739.881,720,940,1050,1150,2000
734.848,720,940,1050,1150,2000
730.903,720,940,1050,1150,2000
727.684,720,940,1050,1150,2000
725.183,720,940,1050,1150,2000
721.262,720,940,1050,1150,2000
718.061,720,940,1050,1150,2000
714.866,720,940,1050,1150,2000
711.677,720,940,1050,1150,2000
705.671,720,940,1050,1150,2000
702.149,720,940,1050,1150,2000
700.391,720,940,1050,1150,2000
700.743,720,940,1050,1150,2000
704.966,720,940,1050,1150,2000
710.262,720,940,1050,1150,2000
712.385,720,940,1050,1150,2000
714.157,720,940,1050,1150,2000
716.285,720,940,1050,1150,2000
716.995,720,940,1050,1150,2000
718.416,720,940,1050,1150,2000
719.127,720,940,1050,1150,2000
719.127,720,940,1050,1150,2000
719.127,720,940,1050,1150,2000
718.772,720,940,1050,1150,2000
717.706,720,940,1050,1150,2000
716.64,720,940,1050,1150,2000
714.866,720,940,1050,1150,2000
713.448,720,940,1050,1150,2000
706.73,720,940,1050,1150,2000
698.283,720,940,1050,1150,2000
691.629,720,940,1050,1150,2000
687.092,720,940,1050,1150,2000
682.569,720,940,1050,1150,2000
679.791,720,940,1050,1150,2000
678.751,720,940,1050,1150,2000
678.405,720,940,1050,1150,2000
678.405,720,940,1050,1150,2000
678.058,720,940,1050,1150,2000
677.711,720,940,1050,1150,2000
678.405,720,940,1050,1150,2000
679.445,720,940,1050,1150,2000
680.138,720,940,1050,1150,2000
680.138,720,940,1050,1150,2000
681.179,720,940,1050,1150,2000
680.831,720,940,1050,1150,2000
680.485,720,940,1050,1150,2000
680.138,720,940,1050,1150,2000
679.445,720,940,1050,1150,2000
679.098,720,940,1050,1150,2000
678.405,720,940,1050,1150,2000
677.019,720,940,1050,1150,2000
674.597,720,940,1050,1150,2000
672.18,720,940,1050,1150,2000
669.421,720,940,1050,1150,2000
665.293,720,940,1050,1150,2000
661.176,720,940,1050,1150,2000
658.095,720,940,1050,1150,2000
655.704,720,940,1050,1150,2000
653.657,720,940,1050,1150,2000
653.657,720,940,1050,1150,2000
654.68,720,940,1050,1150,2000
655.363,720,940,1050,1150,2000
658.779,720,940,1050,1150,2000
664.262,720,940,1050,1150,2000
671.835,720,940,1050,1150,2000
678.751,720,940,1050,1150,2000
686.047,720,940,1050,1150,2000
691.279,720,940,1050,1150,2000
695.478,720,940,1050,1150,2000
698.986,720,940,1050,1150,2000
702.149,720,940,1050,1150,2000
703.558,720,940,1050,1150,2000
705.318,720,940,1050,1150,2000
706.73,720,940,1050,1150,2000
707.436,720,940,1050,1150,2000
708.495,720,940,1050,1150,2000
710.97,720,940,1050,1150,2000
713.094,720,940,1050,1150,2000
714.866,720,940,1050,1150,2000
718.416,720,940,1050,1150,2000
720.55,720,940,1050,1150,2000
722.331,720,940,1050,1150,2000
725.897,720,940,1050,1150,2000
731.62,720,940,1050,1150,2000
738.081,720,940,1050,1150,2000
744.929,720,940,1050,1150,2000
751.442,720,940,1050,1150,2000
756.162,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
764.91,720,940,1050,1150,2000
767.835,720,940,1050,1150,2000
768.933,720,940,1050,1150,2000
769.299,720,940,1050,1150,2000
769.299,720,940,1050,1150,2000
768.201,720,940,1050,1150,2000
766.737,720,940,1050,1150,2000
764.179,720,940,1050,1150,2000
762.353,720,940,1050,1150,2000
762.718,720,940,1050,1150,2000
762.718,720,940,1050,1150,2000
762.718,720,940,1050,1150,2000
764.91,720,940,1050,1150,2000
767.469,720,940,1050,1150,2000
768.933,720,940,1050,1150,2000
770.398,720,940,1050,1150,2000
772.6,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
772.6,720,940,1050,1150,2000
772.6,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
773.333,720,940,1050,1150,2000
774.435,720,940,1050,1150,2000
775.538,720,940,1050,1150,2000
775.538,720,940,1050,1150,2000
776.273,720,940,1050,1150,2000
778.482,720,940,1050,1150,2000
781.06,720,940,1050,1150,2000
787.341,720,940,1050,1150,2000
795.872,720,940,1050,1150,2000
804.072,720,940,1050,1150,2000
811.933,720,940,1050,1150,2000
818.697,720,940,1050,1150,2000
824.354,720,940,1050,1150,2000
828.512,720,940,1050,1150,2000
831.922,720,940,1050,1150,2000
833.438,720,940,1050,1150,2000
834.578,720,940,1050,1150,2000
831.922,720,940,1050,1150,2000
823.599,720,940,1050,1150,2000
811.183,720,940,1050,1150,2000
797.734,720,940,1050,1150,2000
782.537,720,940,1050,1150,2000
770.032,720,940,1050,1150,2000
759.437,720,940,1050,1150,2000
751.08,720,940,1050,1150,2000
744.568,720,940,1050,1150,2000
740.241,720,940,1050,1150,2000
738.801,720,940,1050,1150,2000
745.652,720,940,1050,1150,2000
759.437,720,940,1050,1150,2000
775.171,720,940,1050,1150,2000
791.787,720,940,1050,1150,2000
805.941,720,940,1050,1150,2000
818.697,720,940,1050,1150,2000
827.756,720,940,1050,1150,2000
832.68,720,940,1050,1150,2000
