Time,BAFU_2063_AbflussPneumatikoben
2021-07-13T13:55:00Z,788.822
2021-07-13T14:00:00Z,783.644
2021-07-13T14:05:00Z,777.745
2021-07-13T14:10:00Z,769.666
2021-07-13T14:15:00Z,761.989
2021-07-13T14:20:00Z,754.346
2021-07-13T14:25:00Z,746.375
2021-07-13T14:30:00Z,739.881
2021-07-13T14:35:00Z,733.77
2021-07-13T14:40:00Z,729.471
2021-07-13T14:45:00Z,724.827
2021-07-13T14:50:00Z,719.838
2021-07-13T14:55:00Z,712.385
2021-07-13T15:00:00Z,707.083
2021-07-13T15:05:00Z,702.501
2021-07-13T15:10:00Z,698.283
2021-07-13T15:15:00Z,693.378
2021-07-13T15:20:00Z,687.789
2021-07-13T15:25:00Z,680.485
2021-07-13T15:30:00Z,672.87
2021-07-13T15:35:00Z,666.324
2021-07-13T15:40:00Z,660.49
2021-07-13T15:45:00Z,655.363
2021-07-13T15:50:00Z,650.932
2021-07-13T15:55:00Z,647.873
2021-07-13T16:00:00Z,645.159
2021-07-13T16:05:00Z,641.774
2021-07-13T16:10:00Z,637.385
2021-07-13T16:15:00Z,633.345
2021-07-13T16:20:00Z,628.647
2021-07-13T16:25:00Z,623.963
2021-07-13T16:30:00Z,618.63
2021-07-13T16:35:00Z,613.317
2021-07-13T16:40:00Z,609.345
2021-07-13T16:45:00Z,605.715
2021-07-13T16:50:00Z,603.08
2021-07-13T16:55:00Z,601.766
2021-07-13T17:00:00Z,600.452
2021-07-13T17:05:00Z,600.123
2021-07-13T17:10:00Z,599.794
2021-07-13T17:15:00Z,600.452
2021-07-13T17:20:00Z,600.78
2021-07-13T17:25:00Z,602.423
2021-07-13T17:30:00Z,604.398
2021-07-13T17:35:00Z,607.364
2021-07-13T17:40:00Z,610.006
2021-07-13T17:45:00Z,612.985
2021-07-13T17:50:00Z,616.302
2021-07-13T17:55:00Z,618.298
2021-07-13T18:00:00Z,620.294
2021-07-13T18:05:00Z,621.628
2021-07-13T18:10:00Z,622.628
2021-07-13T18:15:00Z,623.629
2021-07-13T18:20:00Z,623.629
2021-07-13T18:25:00Z,623.629
2021-07-13T18:30:00Z,623.963
2021-07-13T18:35:00Z,623.295
2021-07-13T18:40:00Z,623.295
2021-07-13T18:45:00Z,623.295
2021-07-13T18:50:00Z,623.963
2021-07-13T18:55:00Z,624.298
2021-07-13T19:00:00Z,625.3
2021-07-13T19:05:00Z,627.977
2021-07-13T19:10:00Z,630.994
2021-07-13T19:15:00Z,636.373
2021-07-13T19:20:00Z,642.45
2021-07-13T19:25:00Z,649.572
2021-07-13T19:30:00Z,655.021
2021-07-13T19:35:00Z,659.805
2021-07-13T19:40:00Z,664.949
2021-07-13T19:45:00Z,668.388
2021-07-13T19:50:00Z,671.489
2021-07-13T19:55:00Z,673.56
2021-07-13T20:00:00Z,675.635
2021-07-13T20:05:00Z,677.711
2021-07-13T20:10:00Z,679.791
2021-07-13T20:15:00Z,681.874
2021-07-13T20:20:00Z,684.654
2021-07-13T20:25:00Z,688.487
2021-07-13T20:30:00Z,691.979
2021-07-13T20:35:00Z,694.777
2021-07-13T20:40:00Z,697.231
2021-07-13T20:45:00Z,698.634
2021-07-13T20:50:00Z,700.391
2021-07-13T20:55:00Z,701.445
2021-07-13T21:00:00Z,701.797
2021-07-13T21:05:00Z,702.853
2021-07-13T21:10:00Z,702.501
2021-07-13T21:15:00Z,703.205
2021-07-13T21:20:00Z,702.853
2021-07-13T21:25:00Z,703.558
2021-07-13T21:30:00Z,703.558
2021-07-13T21:35:00Z,703.91
2021-07-13T21:40:00Z,703.558
2021-07-13T21:45:00Z,703.558
2021-07-13T21:50:00Z,704.614
2021-07-13T21:55:00Z,706.024
2021-07-13T22:00:00Z,707.436
2021-07-13T22:05:00Z,710.97
2021-07-13T22:10:00Z,714.866
2021-07-13T22:15:00Z,720.194
2021-07-13T22:20:00Z,725.54
2021-07-13T22:25:00Z,731.62
2021-07-13T22:30:00Z,737.722
2021-07-13T22:35:00Z,742.043
2021-07-13T22:40:00Z,746.736
2021-07-13T22:45:00Z,750.356
2021-07-13T22:50:00Z,753.257
2021-07-13T22:55:00Z,754.709
2021-07-13T23:00:00Z,756.89
2021-07-13T23:05:00Z,757.981
2021-07-13T23:10:00Z,759.801
2021-07-13T23:15:00Z,760.895
2021-07-13T23:20:00Z,763.448
2021-07-13T23:25:00Z,766.371
2021-07-13T23:30:00Z,770.765
2021-07-13T23:35:00Z,774.435
2021-07-13T23:40:00Z,777.745
2021-07-13T23:45:00Z,781.06
2021-07-13T23:50:00Z,784.383
2021-07-13T23:55:00Z,786.601
2021-07-14T00:00:00Z,788.822
2021-07-14T00:05:00Z,790.304
2021-07-14T00:10:00Z,792.158
2021-07-14T00:15:00Z,792.529
2021-07-14T00:20:00Z,792.901
2021-07-14T00:25:00Z,792.901
2021-07-14T00:30:00Z,792.529
2021-07-14T00:35:00Z,791.787
2021-07-14T00:40:00Z,790.675
2021-07-14T00:45:00Z,789.934
2021-07-14T00:50:00Z,788.081
2021-07-14T00:55:00Z,785.862
2021-07-14T01:00:00Z,782.906
2021-07-14T01:05:00Z,778.113
