Time,BAFU_2481_AbflussRadar
2021-07-15T09:55:00Z,77.486
2021-07-15T10:00:00Z,78.328
2021-07-15T10:05:00Z,77.696
2021-07-15T10:10:00Z,75.287
2021-07-15T10:15:00Z,75.183
2021-07-15T10:20:00Z,71.763
2021-07-15T10:25:00Z,78.856
2021-07-15T10:30:00Z,77.381
2021-07-15T10:35:00Z,78.962
2021-07-15T10:40:00Z,79.702
2021-07-15T10:45:00Z,81.509
2021-07-15T10:50:00Z,76.856
2021-07-15T10:55:00Z,76.646
2021-07-15T11:00:00Z,72.485
2021-07-15T11:05:00Z,79.914
2021-07-15T11:10:00Z,72.382
2021-07-15T11:15:00Z,70.531
2021-07-15T11:20:00Z,71.763
2021-07-15T11:25:00Z,72.382
2021-07-15T11:30:00Z,73.416
2021-07-15T11:35:00Z,74.87
2021-07-15T11:40:00Z,70.428
2021-07-15T11:45:00Z,75.287
2021-07-15T11:50:00Z,73.002
2021-07-15T11:55:00Z,78.223
2021-07-15T12:00:00Z,82.149
2021-07-15T12:05:00Z,82.042
2021-07-15T12:10:00Z,86.019
2021-07-15T12:15:00Z,81.083
2021-07-15T12:20:00Z,80.764
2021-07-15T12:25:00Z,78.117
2021-07-15T12:30:00Z,80.126
2021-07-15T12:35:00Z,78.539
2021-07-15T12:40:00Z,81.402
2021-07-15T12:45:00Z,78.223
2021-07-15T12:50:00Z,80.551
2021-07-15T12:55:00Z,78.962
2021-07-15T13:00:00Z,78.962
2021-07-15T13:05:00Z,78.328
2021-07-15T13:10:00Z,79.279
2021-07-15T13:15:00Z,80.657
2021-07-15T13:20:00Z,77.171
2021-07-15T13:25:00Z,82.149
2021-07-15T13:30:00Z,81.402
2021-07-15T13:35:00Z,79.279
2021-07-15T13:40:00Z,81.935
2021-07-15T13:45:00Z,77.802
2021-07-15T13:50:00Z,83.005
2021-07-15T13:55:00Z,80.87
2021-07-15T14:00:00Z,78.645
2021-07-15T14:05:00Z,80.02
2021-07-15T14:10:00Z,76.122
2021-07-15T14:15:00Z,82.469
2021-07-15T14:20:00Z,81.722
2021-07-15T14:25:00Z,77.802
2021-07-15T14:30:00Z,82.149
2021-07-15T14:35:00Z,76.018
2021-07-15T14:40:00Z,78.223
2021-07-15T14:45:00Z,76.961
2021-07-15T14:50:00Z,75.287
2021-07-15T14:55:00Z,77.065
2021-07-15T15:00:00Z,79.596
2021-07-15T15:05:00Z,76.437
2021-07-15T15:10:00Z,80.87
2021-07-15T15:15:00Z,76.961
2021-07-15T15:20:00Z,77.486
2021-07-15T15:25:00Z,73.83
2021-07-15T15:30:00Z,79.067
2021-07-15T15:35:00Z,81.402
2021-07-15T15:40:00Z,75.705
2021-07-15T15:45:00Z,77.171
2021-07-15T15:50:00Z,77.591
2021-07-15T15:55:00Z,79.384
2021-07-15T16:00:00Z,78.434
2021-07-15T16:05:00Z,78.117
2021-07-15T16:10:00Z,76.437
2021-07-15T16:15:00Z,76.437
2021-07-15T16:20:00Z,76.646
2021-07-15T16:25:00Z,77.381
2021-07-15T16:30:00Z,77.591
2021-07-15T16:35:00Z,81.189
2021-07-15T16:40:00Z,82.683
2021-07-15T16:45:00Z,82.576
2021-07-15T16:50:00Z,82.362
2021-07-15T16:55:00Z,79.808
2021-07-15T17:00:00Z,83.005
2021-07-15T17:05:00Z,79.596
2021-07-15T17:10:00Z,80.551
2021-07-15T17:15:00Z,80.764
2021-07-15T17:20:00Z,82.042
2021-07-15T17:25:00Z,79.173
2021-07-15T17:30:00Z,80.764
2021-07-15T17:35:00Z,78.539
2021-07-15T17:40:00Z,82.469
2021-07-15T17:45:00Z,83.326
2021-07-15T17:50:00Z,86.56
2021-07-15T17:55:00Z,87.428
2021-07-15T18:00:00Z,86.668
2021-07-15T18:05:00Z,88.843
2021-07-15T18:10:00Z,85.478
2021-07-15T18:15:00Z,92.686
2021-07-15T18:20:00Z,88.408
2021-07-15T18:25:00Z,88.081
2021-07-15T18:30:00Z,88.735
2021-07-15T18:35:00Z,87.754
2021-07-15T18:40:00Z,91.364
2021-07-15T18:45:00Z,88.081
2021-07-15T18:50:00Z,86.344
2021-07-15T18:55:00Z,89.937
2021-07-15T19:00:00Z,90.046
2021-07-15T19:05:00Z,90.375
2021-07-15T19:10:00Z,90.375
2021-07-15T19:15:00Z,85.37
2021-07-15T19:20:00Z,88.299
2021-07-15T19:25:00Z,84.293
2021-07-15T19:30:00Z,85.586
2021-07-15T19:35:00Z,83.433
2021-07-15T19:40:00Z,84.185
2021-07-15T19:45:00Z,86.019
2021-07-15T19:50:00Z,86.56
2021-07-15T19:55:00Z,84.185
2021-07-15T20:00:00Z,85.694
2021-07-15T20:05:00Z,82.469
2021-07-15T20:10:00Z,82.683
2021-07-15T20:15:00Z,84.293
2021-07-15T20:20:00Z,83.648
2021-07-15T20:25:00Z,83.755
2021-07-15T20:30:00Z,81.189
2021-07-15T20:35:00Z,85.802
2021-07-15T20:40:00Z,82.042
2021-07-15T20:45:00Z,82.042
2021-07-15T20:50:00Z,80.657
2021-07-15T20:55:00Z,88.626
2021-07-15T21:00:00Z,78.539
2021-07-15T21:05:00Z,83.433
2021-07-15T21:10:00Z,83.755
2021-07-15T21:15:00Z,81.402
2021-07-15T21:20:00Z,84.185
2021-07-15T21:25:00Z,83.433
2021-07-15T21:30:00Z,80.87
2021-07-15T21:35:00Z,83.863
2021-07-15T21:40:00Z,84.616
2021-07-15T21:45:00Z,82.256
2021-07-15T21:50:00Z,86.885
2021-07-15T21:55:00Z,89.499
2021-07-15T22:00:00Z,88.081
2021-07-15T22:05:00Z,89.937
2021-07-15T22:10:00Z,84.185
2021-07-15T22:15:00Z,87.537
2021-07-15T22:20:00Z,87.645
2021-07-15T22:25:00Z,91.804
2021-07-15T22:30:00Z,82.683
2021-07-15T22:35:00Z,87.754
2021-07-15T22:40:00Z,83.97
2021-07-15T22:45:00Z,86.56
2021-07-15T22:50:00Z,82.791
2021-07-15T22:55:00Z,88.953
2021-07-15T23:00:00Z,86.235
2021-07-15T23:05:00Z,85.586
2021-07-15T23:10:00Z,85.694
2021-07-15T23:15:00Z,83.219
2021-07-15T23:20:00Z,82.576
2021-07-15T23:25:00Z,81.509
2021-07-15T23:30:00Z,80.551
2021-07-15T23:35:00Z,83.755
2021-07-15T23:40:00Z,83.863
2021-07-15T23:45:00Z,82.256
2021-07-15T23:50:00Z,80.657
2021-07-15T23:55:00Z,86.668
2021-07-16T00:00:00Z,81.189
2021-07-16T00:05:00Z,84.616
2021-07-16T00:10:00Z,83.005
2021-07-16T00:15:00Z,83.433
2021-07-16T00:20:00Z,86.127
2021-07-16T00:25:00Z,82.362
2021-07-16T00:30:00Z,83.648
2021-07-16T00:35:00Z,86.127
2021-07-16T00:40:00Z,84.293
2021-07-16T00:45:00Z,82.256
2021-07-16T00:50:00Z,85.263
2021-07-16T00:55:00Z,84.723
2021-07-16T01:00:00Z,84.185
2021-07-16T01:05:00Z,84.616
2021-07-16T01:10:00Z,86.994
2021-07-16T01:15:00Z,88.408
2021-07-16T01:20:00Z,85.586
2021-07-16T01:25:00Z,90.156
2021-07-16T01:30:00Z,90.485
2021-07-16T01:35:00Z,84.939
2021-07-16T01:40:00Z,94.457
2021-07-16T01:45:00Z,92.686
2021-07-16T01:50:00Z,106.879
2021-07-16T01:55:00Z,106.191
2021-07-16T02:00:00Z,109.991
2021-07-16T02:05:00Z,109.876
2021-07-16T02:10:00Z,113.128
2021-07-16T02:15:00Z,111.615
2021-07-16T02:20:00Z,114.881
2021-07-16T02:25:00Z,115.233
2021-07-16T02:30:00Z,116.759
2021-07-16T02:35:00Z,115.584
2021-07-16T02:40:00Z,121.014
2021-07-16T02:45:00Z,114.647
2021-07-16T02:50:00Z,117.347
2021-07-16T02:55:00Z,113.945
2021-07-16T03:00:00Z,115.467
