Time,BAFU_2091_AbflussPneumatikunten
2021-07-19T19:15:00Z,2800.369
2021-07-19T19:20:00Z,2806.974
2021-07-19T19:25:00Z,2811.928
2021-07-19T19:30:00Z,2816.883
2021-07-19T19:35:00Z,2821.839
2021-07-19T19:40:00Z,2823.491
2021-07-19T19:45:00Z,2825.143
2021-07-19T19:50:00Z,2827.621
2021-07-19T19:55:00Z,2838.363
2021-07-19T20:00:00Z,2827.621
2021-07-19T20:05:00Z,2802.02
2021-07-19T20:10:00Z,2786.339
2021-07-19T20:15:00Z,2769.842
2021-07-19T20:20:00Z,2776.44
2021-07-19T20:25:00Z,2777.265
2021-07-19T20:30:00Z,2777.265
2021-07-19T20:35:00Z,2778.914
2021-07-19T20:40:00Z,2778.914
2021-07-19T20:45:00Z,2783.864
2021-07-19T20:50:00Z,2783.864
2021-07-19T20:55:00Z,2769.017
2021-07-19T21:00:00Z,2757.475
2021-07-19T21:05:00Z,2741.819
2021-07-19T21:10:00Z,2737.701
2021-07-19T21:15:00Z,2721.234
2021-07-19T21:20:00Z,2717.119
2021-07-19T21:25:00Z,2708.892
2021-07-19T21:30:00Z,2706.424
2021-07-19T21:35:00Z,2698.2
2021-07-19T21:40:00Z,2700.667
2021-07-19T21:45:00Z,2714.651
2021-07-19T21:50:00Z,2722.88
2021-07-19T21:55:00Z,2708.069
2021-07-19T22:00:00Z,2708.892
2021-07-19T22:05:00Z,2701.49
2021-07-19T22:10:00Z,2697.378
2021-07-19T22:15:00Z,2695.734
2021-07-19T22:20:00Z,2693.268
2021-07-19T22:25:00Z,2699.845
2021-07-19T22:30:00Z,2695.734
2021-07-19T22:35:00Z,2682.584
2021-07-19T22:40:00Z,2685.049
2021-07-19T22:45:00Z,2681.763
2021-07-19T22:50:00Z,2695.734
2021-07-19T22:55:00Z,2713.828
2021-07-19T23:00:00Z,2723.703
2021-07-19T23:05:00Z,2721.234
2021-07-19T23:10:00Z,2710.537
2021-07-19T23:15:00Z,2706.424
2021-07-19T23:20:00Z,2709.714
2021-07-19T23:25:00Z,2694.912
2021-07-19T23:30:00Z,2702.312
2021-07-19T23:35:00Z,2703.957
2021-07-19T23:40:00Z,2731.113
2021-07-19T23:45:00Z,2731.936
2021-07-19T23:50:00Z,2716.296
2021-07-19T23:55:00Z,2704.779
2021-07-20T00:00:00Z,2674.37
2021-07-20T00:05:00Z,2666.159
2021-07-20T00:10:00Z,2676.012
2021-07-20T00:15:00Z,2695.734
2021-07-20T00:20:00Z,2716.296
2021-07-20T00:25:00Z,2699.845
2021-07-20T00:30:00Z,2687.515
2021-07-20T00:35:00Z,2683.406
2021-07-20T00:40:00Z,2682.584
2021-07-20T00:45:00Z,2667.801
2021-07-20T00:50:00Z,2653.029
2021-07-20T00:55:00Z,2660.413
2021-07-20T01:00:00Z,2658.772
2021-07-20T01:05:00Z,2634.169
2021-07-20T01:10:00Z,2632.531
2021-07-20T01:15:00Z,2606.328
2021-07-20T01:20:00Z,2617.787
2021-07-20T01:25:00Z,2621.881
2021-07-20T01:30:00Z,2606.328
2021-07-20T01:35:00Z,2603.055
2021-07-20T01:40:00Z,2609.601
2021-07-20T01:45:00Z,2626.795
2021-07-20T01:50:00Z,2620.243
2021-07-20T01:55:00Z,2618.605
2021-07-20T02:00:00Z,2632.531
2021-07-20T02:05:00Z,2635.809
2021-07-20T02:10:00Z,2634.169
2021-07-20T02:15:00Z,2630.073
2021-07-20T02:20:00Z,2627.615
2021-07-20T02:25:00Z,2631.711
2021-07-20T02:30:00Z,2632.531
2021-07-20T02:35:00Z,2636.629
2021-07-20T02:40:00Z,2631.711
2021-07-20T02:45:00Z,2639.088
2021-07-20T02:50:00Z,2658.772
2021-07-20T02:55:00Z,2661.234
2021-07-20T03:00:00Z,2663.697
2021-07-20T03:05:00Z,2662.055
2021-07-20T03:10:00Z,2657.951
2021-07-20T03:15:00Z,2649.747
2021-07-20T03:20:00Z,2647.287
