Time,BAFU_2243_AbflussRadarBruecke
2021-07-28T13:20:00Z,247.141
2021-07-28T13:25:00Z,246.707
2021-07-28T13:30:00Z,245.838
2021-07-28T13:35:00Z,241.941
2021-07-28T13:40:00Z,243.886
2021-07-28T13:45:00Z,242.804
2021-07-28T13:50:00Z,241.509
2021-07-28T13:55:00Z,241.078
2021-07-28T14:00:00Z,242.588
2021-07-28T14:05:00Z,241.078
2021-07-28T14:10:00Z,240.862
2021-07-28T14:15:00Z,240.646
2021-07-28T14:20:00Z,242.156
2021-07-28T14:25:00Z,242.156
2021-07-28T14:30:00Z,240.646
2021-07-28T14:35:00Z,240.646
2021-07-28T14:40:00Z,240.217
2021-07-28T14:45:00Z,240.217
2021-07-28T14:50:00Z,242.588
2021-07-28T14:55:00Z,242.588
2021-07-28T15:00:00Z,242.804
2021-07-28T15:05:00Z,239.357
2021-07-28T15:10:00Z,240.862
2021-07-28T15:15:00Z,239.572
2021-07-28T15:20:00Z,241.725
2021-07-28T15:25:00Z,244.103
2021-07-28T15:30:00Z,240.646
2021-07-28T15:35:00Z,243.02
2021-07-28T15:40:00Z,241.509
2021-07-28T15:45:00Z,240.217
2021-07-28T15:50:00Z,241.941
2021-07-28T15:55:00Z,242.372
2021-07-28T16:00:00Z,242.156
2021-07-28T16:05:00Z,239.142
2021-07-28T16:10:00Z,240.002
2021-07-28T16:15:00Z,244.969
2021-07-28T16:20:00Z,244.103
2021-07-28T16:25:00Z,243.453
2021-07-28T16:30:00Z,242.804
2021-07-28T16:35:00Z,242.588
2021-07-28T16:40:00Z,243.237
2021-07-28T16:45:00Z,242.804
2021-07-28T16:50:00Z,243.886
2021-07-28T16:55:00Z,242.156
2021-07-28T17:00:00Z,241.725
2021-07-28T17:05:00Z,243.453
2021-07-28T17:10:00Z,243.237
2021-07-28T17:15:00Z,242.588
2021-07-28T17:20:00Z,243.02
2021-07-28T17:25:00Z,243.453
2021-07-28T17:30:00Z,244.319
2021-07-28T17:35:00Z,245.838
2021-07-28T17:40:00Z,248.45
2021-07-28T17:45:00Z,250.635
2021-07-28T17:50:00Z,252.608
2021-07-28T17:55:00Z,252.388
2021-07-28T18:00:00Z,253.486
2021-07-28T18:05:00Z,253.267
2021-07-28T18:10:00Z,252.828
2021-07-28T18:15:00Z,253.047
