Time,BAFU_2473_AbflussPneumatikFluss
2021-07-18T19:15:00Z,521.052
2021-07-18T19:20:00Z,521.584
2021-07-18T19:25:00Z,522.117
2021-07-18T19:30:00Z,522.649
2021-07-18T19:35:00Z,522.915
2021-07-18T19:40:00Z,523.181
2021-07-18T19:45:00Z,522.915
2021-07-18T19:50:00Z,523.181
2021-07-18T19:55:00Z,522.649
2021-07-18T20:00:00Z,522.649
2021-07-18T20:05:00Z,521.85
2021-07-18T20:10:00Z,522.383
2021-07-18T20:15:00Z,522.383
2021-07-18T20:20:00Z,521.318
2021-07-18T20:25:00Z,520.521
2021-07-18T20:30:00Z,519.724
2021-07-18T20:35:00Z,519.458
2021-07-18T20:40:00Z,518.66
2021-07-18T20:45:00Z,518.13
2021-07-18T20:50:00Z,517.334
2021-07-18T20:55:00Z,516.007
2021-07-18T21:00:00Z,515.742
2021-07-18T21:05:00Z,514.418
2021-07-18T21:10:00Z,513.623
2021-07-18T21:15:00Z,512.829
2021-07-18T21:20:00Z,512.565
2021-07-18T21:25:00Z,511.243
2021-07-18T21:30:00Z,511.243
2021-07-18T21:35:00Z,510.714
2021-07-18T21:40:00Z,509.922
2021-07-18T21:45:00Z,509.658
2021-07-18T21:50:00Z,509.129
2021-07-18T21:55:00Z,508.601
2021-07-18T22:00:00Z,507.546
2021-07-18T22:05:00Z,508.073
2021-07-18T22:10:00Z,507.283
2021-07-18T22:15:00Z,507.019
2021-07-18T22:20:00Z,506.755
2021-07-18T22:25:00Z,505.965
2021-07-18T22:30:00Z,505.174
2021-07-18T22:35:00Z,504.911
2021-07-18T22:40:00Z,505.437
2021-07-18T22:45:00Z,505.174
2021-07-18T22:50:00Z,504.911
2021-07-18T22:55:00Z,504.648
2021-07-18T23:00:00Z,504.385
2021-07-18T23:05:00Z,504.385
2021-07-18T23:10:00Z,503.858
2021-07-18T23:15:00Z,504.121
2021-07-18T23:20:00Z,504.385
2021-07-18T23:25:00Z,504.911
2021-07-18T23:30:00Z,505.701
2021-07-18T23:35:00Z,506.228
2021-07-18T23:40:00Z,507.019
2021-07-18T23:45:00Z,507.283
2021-07-18T23:50:00Z,507.81
2021-07-18T23:55:00Z,508.601
2021-07-19T00:00:00Z,509.129
2021-07-19T00:05:00Z,509.393
2021-07-19T00:10:00Z,510.45
2021-07-19T00:15:00Z,511.243
2021-07-19T00:20:00Z,511.507
2021-07-19T00:25:00Z,511.772
2021-07-19T00:30:00Z,511.772
2021-07-19T00:35:00Z,511.507
2021-07-19T00:40:00Z,510.186
2021-07-19T00:45:00Z,509.393
2021-07-19T00:50:00Z,508.601
2021-07-19T00:55:00Z,507.546
2021-07-19T01:00:00Z,506.492
2021-07-19T01:05:00Z,506.228
2021-07-19T01:10:00Z,505.437
2021-07-19T01:15:00Z,504.648
2021-07-19T01:20:00Z,503.595
2021-07-19T01:25:00Z,503.332
2021-07-19T01:30:00Z,503.069
2021-07-19T01:35:00Z,502.543
2021-07-19T01:40:00Z,502.28
2021-07-19T01:45:00Z,502.806
2021-07-19T01:50:00Z,502.543
2021-07-19T01:55:00Z,502.28
2021-07-19T02:00:00Z,502.28
2021-07-19T02:05:00Z,502.017
2021-07-19T02:10:00Z,501.755
