Bundesamt für Umwelt BAFU - Abteilung Hydrologie
Office fédéral de lenvironnement OFEV - Division Hydrologie

Abfluss- und Wasserstandsvorhersage
Prévision de débits et niveau d'eaux

Ausgegeben am / Emission:           15.7.2021, 11.06 h MEWZ / HHEC
Meteolauf von / Prévision météo de: 15.7.2021, 04.00 h UTC
Gemessene Werte bis / Valeurs mesurées jusqu'au: 15.7.2021, 08.00 MEWZ / HHEC
Übrige Zeitangaben in / Autres valeurs de temps en : MEWZ / HHEC

Stundenmittel des Wasserstandes [müM] und des Abflusses [m3/s]
Moyenne horaire du niveau d'eau [msm] et du débit [m3/s]

dd mm yyyy hh  H_e01   H_e02   H_e03   H_e04   H_e05   H_e06   H_e07   H_e08   H_e09   H_e10   Q_e01   Q_e02   Q_e03   Q_e04   Q_e05   Q_e06   Q_e07   Q_e08   Q_e09   Q_e10   H_min   H_p25   H_p50   H_p75   H_max   Q_min   Q_p25   Q_p50   Q_p75   Q_max
15 07 2021 10  337.09  337.09  337.09  337.09  337.09  337.09  337.09  337.09  337.09  337.09  1193.7  1193.7  1193.7  1193.8  1193.7  1193.7  1193.7  1193.7  1194.4  1193.7  337.09  337.09  337.09  337.09  337.09  1193.7  1193.7  1193.7  1193.8  1194.4
15 07 2021 11  336.63  336.63  336.63  336.63  336.63  336.63  336.63  336.63  336.64  336.63  1084.5  1084.4  1084.9  1084.8  1084.4  1084.5  1084.7  1084.5  1085.9  1084.5  336.63  336.63  336.63  336.63  336.64  1084.4  1084.5  1084.5  1084.8  1085.9
15 07 2021 12  336.42  336.42  336.42  336.42  336.42  336.42  336.42  336.42  336.43  336.42  1035.2  1034.8  1035.8  1035.7  1035.4  1035.5  1036.4  1035.4  1037.6  1035.5  336.42  336.42  336.42  336.42  336.43  1034.8  1035.3  1035.5  1035.9  1037.6
15 07 2021 13  336.24  336.24  336.24  336.24  336.24  336.24  336.25  336.24  336.25  336.25   993.9   993.8   995.0   994.7   994.3   994.4   996.0   994.5   996.5   995.5  336.24  336.24  336.24  336.25  336.25   993.8   994.2   994.6   995.7   996.5
15 07 2021 14  336.12  336.12  336.13  336.13  336.13  336.13  336.13  336.12  336.14  336.14   967.1   967.4   968.2   968.6   968.0   968.8   969.7   967.5   970.0   970.0  336.12  336.12  336.13  336.13  336.14   967.1   967.5   968.4   969.8   970.0
15 07 2021 15  335.98  335.99  335.99  335.99  336.01  336.01  335.99  335.98  336.00  336.00   935.6   936.0   936.5   938.1   941.5   941.4   938.2   935.7   939.0   938.9  335.98  335.98  335.99  336.00  336.01   935.6   936.0   938.1   939.6   941.5
15 07 2021 16  335.82  335.82  335.81  335.84  335.91  335.87  335.83  335.81  335.84  335.83   898.9   899.3   897.8   902.5   918.8   909.6   900.4   897.2   902.7   901.1  335.81  335.82  335.83  335.84  335.91   897.2   898.7   900.8   904.4   918.8
15 07 2021 17  335.68  335.66  335.65  335.69  335.89  335.74  335.66  335.64  335.67  335.67   867.4   863.9   861.7   870.8   914.1   880.9   864.1   860.2   866.9   865.8  335.64  335.66  335.67  335.70  335.89   860.2   863.4   866.3   873.3   914.1
15 07 2021 18  335.54  335.49  335.48  335.54  335.84  335.63  335.49  335.47  335.50  335.50   836.8   827.2   824.7   837.1   904.1   857.1   826.8   822.2   829.2   829.1  335.47  335.49  335.50  335.56  335.84   822.2   826.3   829.1   842.1   904.1
15 07 2021 19  335.44  335.36  335.33  335.41  335.76  335.56  335.35  335.32  335.35  335.36   816.3   798.4   793.2   810.2   884.8   841.5   795.8   789.5   796.1   798.5  335.32  335.34  335.36  335.47  335.76   789.5   795.2   798.5   822.6   884.8
15 07 2021 20  335.38  335.26  335.20  335.30  335.67  335.52  335.22  335.18  335.20  335.23   804.0   777.0   765.3   786.3   866.4   833.4   768.3   759.9   765.7   771.6  335.18  335.20  335.24  335.42  335.67   759.9   765.6   774.3   811.4   866.4
15 07 2021 21  335.39  335.21  335.10  335.20  335.60  335.51  335.11  335.06  335.09  335.13   805.2   767.8   744.5   764.4   851.7   831.0   746.2   734.8   741.3   751.2  335.06  335.10  335.17  335.42  335.60   734.8   743.7   757.8   811.7   851.7
15 07 2021 22  335.46  335.19  335.03  335.10  335.57  335.50  335.04  334.97  335.03  335.09   819.9   763.1   730.6   744.7   843.5   829.0   731.5   718.3   729.4   741.2  334.97  335.03  335.09  335.47  335.57   718.3   730.3   742.9   822.2   843.5
15 07 2021 23  335.57  335.16  334.98  335.02  335.55  335.47  334.98  334.90  335.02  335.06   843.3   755.8   719.2   727.8   840.6   823.0   720.1   703.7   727.6   735.3  334.90  334.98  335.04  335.49  335.57   703.7   719.9   731.6   827.4   843.3
16 07 2021 00  335.64  335.13  334.92  334.96  335.54  335.42  334.94  334.83  335.01  335.04   859.7   750.1   707.5   714.7   838.2   812.7   710.5   689.6   725.6   732.5  334.83  334.93  335.03  335.45  335.64   689.6   709.7   729.0   819.1   859.7
16 07 2021 01  335.65  335.09  334.86  334.88  335.51  335.34  334.88  334.77  335.00  335.03   860.7   742.2   694.8   699.4   830.2   793.9   698.5   677.2   722.9   729.2  334.77  334.87  335.01  335.38  335.65   677.2   697.6   726.1   802.9   860.7
16 07 2021 02  335.65  335.04  334.80  334.81  335.45  335.23  334.81  334.73  334.99  335.00   862.3   732.2   683.6   684.9   817.6   772.2   685.8   668.7   722.0   724.4  334.73  334.81  335.00  335.29  335.65   668.7   684.6   723.2   783.5   862.3
16 07 2021 03  335.70  334.99  334.75  334.75  335.37  335.13  334.75  334.70  334.98  334.99   872.7   720.4   672.3   672.7   800.7   749.7   673.7   661.9   719.9   720.8  334.70  334.75  334.98  335.19  335.70   661.9   672.6   720.2   762.5   872.7
